Região,Precipitação,Nível,IQAr,IQÁgua
Rio Belém - Estação São Lourenço,"1,2 mm",5 cm,Bom,Bom
Rio Belém - Estação Nelson de Souza,1 mm,10 cm,Médio,Médio
Rio Belém - Estação OAB,"1,1 mm",5 cm,Ruim,Ruim
Rio Belém - Estação Celeste Santi,"1,3 mm",5 cm,Bom,Médio
Rio Belém - Estação Cândido de Abreu,"1,1 mm",5 cm,Bom,Médio
Rio Pequeno - Estação 1,5 mm,6 cm,Bom,Médio
Rio Pequeno - Estação 2,5 mm,8 cm,Bom,Médio
Rio Pequeno - Estação 3,2 mm,10 cm,Médio,Bom
Rio Pequeno - Estação 4,2 mm,10 cm,Ruim,Médio
Rio Palmital - Estação 1,2 mm,40 cm,Médio,Bom
